Rank,Team,G,Opp Cpl,Opp Pass,Opp Pass Yds,Opp Pass TDs,Yds/Att,Yds/Comp,YPG
-,West Virginia,2,38,74,563,3,7.61,14.82,281.5
102,NC State,2,43,72,565,5,7.85,13.14,282.5
-,Kentucky,2,53,83,565,3,6.81,10.66,282.5
104,SMU,2,48,78,568,4,7.28,11.83,284.0
105,Rice,2,39,70,572,4,8.17,14.67,286.0
106,North Texas,2,42,82,574,7,7.00,13.67,287.0
107,New Mexico St.,2,44,68,575,4,8.46,13.07,287.5
108,Nevada,2,47,65,584,4,8.98,12.43,292.0
109,Maryland,2,55,89,585,4,6.57,10.64,292.5
110,Iowa St.,2,50,79,592,8,7.49,11.84,296.0
111,Purdue,2,47,75,601,3,8.01,12.79,300.5
112,Baylor,2,59,80,602,5,7.53,10.20,301.0
113,East Carolina,2,41,58,607,6,10.47,14.80,303.5
-,Central Mich.,2,53,102,607,3,5.95,11.45,303.5
115,Tulsa,2,42,60,617,5,10.28,14.69,308.5
116,Hawaii,3,69,104,941,8,9.05,13.64,313.7
117,Temple,3,67,110,943,5,8.57,14.07,314.3
118,FIU,2,48,67,630,5,9.40,13.13,315.0
119,Kansas,2,53,80,637,7,7.96,12.02,318.5
120,Marshall,2,52,80,639,5,7.99,12.29,319.5
121,California,2,50,89,652,2,7.33,13.04,326.0
122,South Carolina,2,59,96,660,3,6.88,11.19,330.0
123,Louisville,2,62,95,677,7,7.13,10.92,338.5
124,UConn,1,33,56,358,1,6.39,10.85,358.0
125,Texas A&M;,2,48,84,755,5,8.99,15.73,377.5
126,North Carolina,2,49,77,756,7,9.82,15.43,378.0
127,South Ala.,2,54,76,771,7,10.14,14.28,385.5
128,Nebraska,2,71,101,780,6,7.72,10.99,390.0
129,Ohio St.,2,69,103,806,6,7.83,11.68,403.0
