Rank,Team,G,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
109,Texas St.,3,81,49,3,522,6.44,10.65,1,174.0
110,Minnesota,3,58,37,1,519,8.95,14.03,2,173.0
111,Cincinnati,3,111,56,4,505,4.55,9.02,5,168.3
112,UTEP,3,99,52,1,498,5.03,9.58,2,166.0
113,San Diego St.,3,70,47,1,497,7.10,10.57,4,165.7
114,Notre Dame,3,97,48,2,490,5.05,10.21,2,163.3
115,Arizona,3,74,49,1,483,6.53,9.86,4,161.0
116,Arkansas,2,45,25,1,317,7.04,12.68,3,158.5
117,Georgia,3,64,36,3,463,7.23,12.86,5,154.3
118,UAB,3,61,35,0,438,7.18,12.51,2,146.0
119,BYU,4,110,60,6,577,5.25,9.62,2,144.3
120,Western Mich.,3,81,45,2,385,4.75,8.56,2,128.3
121,Air Force,2,23,11,1,254,11.04,23.09,3,127.0
122,Navy,2,22,7,2,242,11.00,34.57,2,121.0
123,Georgia Tech,2,17,10,0,232,13.65,23.20,3,116.0
124,Charlotte,3,83,35,7,342,4.12,9.77,4,114.0
125,Rice,3,67,31,2,339,5.06,10.94,1,113.0
126,Tulane,3,40,24,1,310,7.75,12.92,3,103.3
127,Kent St.,3,38,16,1,223,5.87,13.94,2,74.3
128,Ga. Southern,2,31,15,2,101,3.26,6.73,0,50.5
129,Army West Point,3,18,4,0,36,2.00,9.00,0,12.0
