Rank,Team,G,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
118,Massachusetts,4,136,354,2.60,7,88.5
119,South Carolina,3,81,257,3.17,3,85.7
120,East Carolina,3,93,252,2.71,2,84.0
121,Western Ky.,3,97,247,2.55,7,82.3
122,Wyoming,3,90,241,2.68,2,80.3
123,BYU,4,99,310,3.13,2,77.5
124,Washington St.,3,68,232,3.41,2,77.3
125,Ole Miss,3,76,209,2.75,2,69.7
126,Indiana,2,68,128,1.88,1,64.0
127,Middle Tenn.,3,74,189,2.55,1,63.0
128,Florida St.,1,27,40,1.48,0,40.0
129,UTEP,3,59,116,1.97,3,38.7
